Country,GDPperCap,captoasset,regaptorwa
Maldives,"15,056.42",20.81,46.40
Antigua and Barbuda,"17,495.76",5.45,39.38
Papua New Guinea,"2,877.58",14.01,36.09
"Micronesia, Federated States of","3,979.07",6.11,35.24
"Eswatini, Kingdom of","4,031.72",4.49,31.58
"Gambia, The",768.921,12.96,31.40
Solomon Islands,"2,417.32",12.77,31.33
Central African Rep.,480.173,15.92,30.27
Tonga,"5,095.61",17.66,28.80
"Mozambique, Rep. of",508.164,12.70,28.78
"Comoros, Union of the","1,359.75",12.81,27.90
Samoa,"4,632.08",11.98,27.79
"Estonia, Rep. of","23,427.07",12.10,27.03
St. Lucia,"11,646.01",11.23,25.57
"Moldova, Rep. of","4,376.65",12.56,25.25
Ireland,"80,690.15",11.92,24.97
"Kazakhstan, Rep. of","9,750.43",12.76,24.25
Iceland,"69,542.65",15.44,24.17
Kyrgyz Rep.,"1,388.65",14.29,23.85
Lithuania,"19,577.94",6.41,23.69
"Uzbekistan, Rep. of","1,801.43",16.66,23.52
"Netherlands, The","52,672.50",87.88,22.87
Sweden,"51,694.50",5.66,22.78
Denmark,"59,678.60",4.83,22.47
Zambia,"1,272.24",11.09,22.23
St. Vincent and the Grenadines,"8,228.63",6.45,22.20
Romania,"12,863.25",10.20,22.00
Luxembourg,"114,357.51",7.44,21.91
Cambodia,"1,736.32",13.55,21.77
Latvia,"17,871.43",8.50,21.69
Indonesia,"4,194.09",13.40,21.59
United Kingdom,"43,121.06",5.72,21.27
Trinidad and Tobago,"17,123.12",10.55,21.16
Malawi,543.685,9.26,21.02
Uganda,955.694,13.67,21.02
Ghana,"2,265.72",10.66,20.92
Finland,"48,667.72",5.88,20.50
St. Kitts and Nevis,"20,600.56",7.88,20.22
Bulgaria,"9,914.32",11.59,20.21
Malta,"31,866.53",8.12,20.08
"Tajikistan, Rep. of",893.318,27.38,19.95
Brunei Darussalam,"29,312.82",11.16,19.71
Czech Rep.,"23,713.89",6.82,19.69
Ukraine,"3,690.07",6.94,19.66
Mauritius,"11,099.23",10.19,19.60
France,"41,924.84",5.40,19.56
Cyprus,"29,411.88",8.92,19.55
Seychelles,"17,454.85",8.16,19.53
Nicaragua,"1,924.47",9.33,19.50
Georgia,"4,693.66",12.28,19.45
"Lesotho, Kingdom of","1,122.34",10.23,19.37
Thailand,"7,813.61",11.30,19.35
Switzerland,"84,476.47",8.59,19.33
Saudi Arabia,"23,485.08",14.43,19.29
Kenya,"2,107.74",12.81,18.79
Belgium,"46,740.49",6.23,18.75
Malaysia,"11,231.54",8.71,18.63
Germany,"46,798.83",6.31,18.58
"Poland, Rep. of","15,726.88",9.56,18.56
"Slovenia, Rep. of","26,112.43",10.61,18.54
Botswana,"7,247.45",8.91,18.52
"Fiji, Rep. of","6,126.64",10.96,18.49
"Türkiye, Rep of","9,132.95",11.75,18.40
Austria,"50,239.42",7.51,18.35
Albania,"5,345.06",9.08,18.28
Slovak Rep.,"19,318.87",7.26,18.16
Bosnia and Herzegovina,"5,787.06",10.51,18.02
Hungary,"16,731.47",11.71,18.01
Algeria,"3,953.58",9.86,17.99
"Belarus, Rep. of","6,831.52",11.55,17.82
Montenegro,"8,911.28",10.01,17.73
United Arab Emirates,"43,900.15",12.43,17.69
"Ethiopia, The Federal Dem. Rep. of",968.253,7.98,17.69
"Armenia, Rep. of","4,596.86",11.86,17.58
Costa Rica,"12,691.13",10.02,17.50
Argentina,"10,054.02",9.73,17.49
Kuwait,"28,513.43",11.19,17.23
Paraguay,"5,299.67",8.72,17.19
Italy,"33,627.86",6.71,17.16
Brazil,"8,914.17",9.33,17.12
"Tanzania, United Rep. of","1,079.68",11.70,17.10
Djibouti,"3,172.75",6.65,17.07
Gabon,"8,111.34",9.88,17.02
Greece,"19,130.44",10.98,17.02
Pakistan,"1,500.68",5.94,17.00
Singapore,"65,833.20",8.24,16.95
Portugal,"23,333.32",7.63,16.93
Colombia,"6,540.14",9.13,16.91
Uruguay,"17,341.40",11.05,16.76
Ecuador,"6,260.60",11.91,16.67
West Bank and Gaza,"3,442.75",9.42,16.59
South Africa,"6,609.04",8.01,16.58
Sri Lanka,"4,082.69",7.41,16.53
Guatemala,"4,379.80",6.94,16.42
"North Macedonia, Republic of","6,073.00",10.24,16.31
Mexico,"10,025.54",9.85,15.98
El Salvador,"4,165.04",9.19,15.98
Spain,"29,576.25",6.10,15.91
"Kosovo, Rep. of","4,433.00",10.50,15.90
Australia,"54,323.09",6.20,15.70
India,"2,072.25",8.03,15.42
Guinea,986.528,9.58,15.41
Canada,"46,403.99",4.70,15.34
Namibia,"5,099.43",9.29,15.32
"Korea, Rep. of","31,902.42",7.73,15.26
Panama,"15,877.57",12.71,15.24
Philippines,"3,512.20",9.52,15.23
Bhutan,"3,322.53",12.18,15.15
Peru,"7,006.34",10.92,14.69
United States,"65,051.88",9.40,14.65
Israel,"44,466.80",7.53,14.60
Nigeria,"2,229.85",7.77,14.57
Honduras,"2,568.06",11.22,14.05
Barbados,"18,448.83",7.64,13.96
Nepal,"1,194.96",10.36,13.71
"Madagascar, Rep. of",531.75,6.77,13.43
Bolivia,"3,591.40",6.88,13.01
Chile,"14,567.63",7.34,12.84
Russian Federation,"11,555.27",9.16,12.33
Grenada,"10,834.50",4.48,11.85
Vietnam,"3,398.21",5.77,11.79
Bangladesh,"2,154.23",5.17,11.57
Cameroon,"1,533.16",5.11,10.75
Lebanon,"7,421.49",8.56,10.55
"San Marino, Rep. of","48,043.86",4.24,9.49
Chad,689.327,2.80,6.80
"Equatorial Guinea, Rep. of","8,355.34",-0.71,-2.77
